1824,10,4,"BOV minutes Oct. 4, 1824- Student discipline & codes of conduct","Lays out rules concerning alcohol for students on Grounds, as well as ""punishments for major offenses…Expulsion, temporary suspension, or Interdiction of residence."" Lays out other rules concerning ""misbehavior or indecorum in school shall be subject to any of the minor punishments...No Student shall make any festive entertainment within the precincts of the University...Fighting with weapons which may inflict death...shall be punished by instant expulsion...Riotous, disorderly, intemperate or indecent conduct of any student within the precincts shall be punished by interdiction of a residence within the precincts; and repetitions of such offenses, by expulsion."" ",Board of Visitors' Meeting Minutes,BOV,
1828,7,10,"BOV minutes- July 10, 1828","The Faculty and Board of Visitors has ""the power of punishing offences, and reserve to the Visitors the power only of approving or disapproving sentences of expulsion: And, though they justly appreciate the motives of delicacy which induced the Faculty to refer this subject to them, they must decline pronouncing any judgment on the conduct of the Student. But they would on every occasion, solemnly enjoin on the Students, as essential to their own welfare, and the character of the institution, the utmost deference and respect for the professors; in the confidence that the professors will entitle themselves to that deference & respect, by the dignity of their deportment, & especially by avoiding all personal collision with the Students and all personal  violence  towards them.",Board of Visitors' Meeting Minutes,BOV,
1832,7,10,"BOV minutes- July 10, 1832- Faculty & BOV response following an ""outrage"" on campus ","""A communication from a meeting of a number of the Students of the University held this morning in the Rotunda, disclaiming all communion with the perpetrators of some recent acts of wanton mischief and  outrage , and stigmatizing such conduct as disgraceful and ungentlemanly, was received by the board.""",Board of Visitors' Meeting Minutes,BOV,
1832,7,10,"BOV minutes- July 10, 1832- Purchase of a slave (only mention of ""slave"" in the BOV minutes, besides references to refurbished slave quarters) ","The Board of Visitors having received a communication from Dr. Patterson, relative to the purchase last Christmas by the Proctor, Professor Davis, and himself conjunctly, of the  Slave  Lewis Commodore, for the use of the University, for the reasons detailed in his letter, and proposing to the Board to assume the purchase on the terms contracted by them, and the Board assenting to the proposition; therefore Resolved, that the Proctor pay the sum of $580 for the purchase of the servant Lewis Commodore, to the person and at the time as contracted by himself and Professors Patterson and Davis, and that he be held hereafter as the property of the University.",Board of Visitors' Meeting Minutes,BOV,
1833,9,10,"Faculty Minutes- Sept. 10, 1833- Student expelled over ""whoring"" misconduct","""Being asked what was the nature of the charge against him, he said, he had been accused of visiting a house of ill fame - He said he had been before the Faculty of that Institution several times. He did not speak disrespectfully to Mr. Mitchell (a professor) until he conceived himself insulted - After he was dismissed by the Faculty of the University of North Carolina he says the Trustees expelled him at their next meeting.",Faculty Meeting Minutes,Faculty Min.,
1834,1,27,"Faculty Minutes- Jan. 27, 1834- incident of a student kicking another man's ""servant"" i.e. slave","“Mr. Forbes told him if his servants, did not do their duty better, he would report him and whip his damned servants. They then went on, and Mr. Rose saw them go into Keller's Confectionary. Messrs. Jno. M. Forbes & Wm. P. Braxton were sent for. Mr. Forbes admits that he kicked Mr. Rose's servant. Being asked if he hurt him, he said, he did not know, but he tried to do so, for he kicked him as hard as he could. They both say they went to Keller's to get their breakfast, but refuse to say whether they have been there before, during the present session. They complain of great negligence on the part of Mr. Rose's dormitory-servants, and assert that their rooms are never cleaned by 8 o'c. A. M. Mr. Davis proposed the following resolution. ""Mr. Wm. P. Braxton and Mr. Jno. M. Forbes having in vioation of the laws of the University gone to Keller's yesterday morning, and there, taken their breakfast, because the Hotel - Keeper would not send their breakfasts to their rooms, therefore resolved that they be suspended for a fortnight."" ""Dr. Magill amended this resolution by proposing that the Chairman reprimand Messrs. Forbes & Braxton and write to their parents that they would have been suspended if it were not for the circumstance that they would, during their suspension, miss the intermediate examinations in several of the classes which they attend.",Faculty Meeting Minutes,Faculty Min.,
1835,7,2,"BOV minutes- July 2, 1835","""While the great body of the Students have been orderly and diligent, it has been in the power of a few unworthy and unsound members, occasionally to create confusion & embarrassment. This will always be the case while the dissipated and profligate are shielded in their violations of law &  outrages  against decency by a vague and unmeaning sense of honor, that ""loose principle in the Ethics of schoolboy combinations,"" which forbids one Student to give evidence against his fellow.""",Board of Visitors' Meeting Minutes,BOV,
1840,9,4,"BOV minutes- Sept. 14, 1840- BOV response to domestic abuse allegations by a professor's wife against a professor ","1. Resolved, that the Board will proceed this Evening at 4 O. Clock to the consideration of the conduct of Professor Blaettermann, in relation to the  violence  said to have been recently and publicly inflicted by him on the person of Mrs. Blaettermann:- And that a copy of this resolution be forthwith delivered to Dr. Blaettermann by the Secretary. The Board having proceeded to the consideration of the subject of the preceeding resolution, testimony having been examined, and Doct: Blaettermann having been heard in his defence;- 2. Resolved, unanimously that he be henceforth removed from his office of professor of modern languages, in the University of Virginia, and that a copy of this resolution be communicated to him by the Secretary.",Board of Visitors' Meeting Minutes,BOV,
1841,9,1,"Faculty Minutes- Sept. 1, 1841- Student expelled over ""whoring"" incident -""entertaining a woman in his room""","""The Faculty having received information that Mr. Francis H. Jordan has admitted into his room on several occasions a woman of notoriously bad character, and he when called on having acknowledged that she had came to his room in one instance at sunrise while he was yet in bed and remained till breakfast time, when he commanded her to leave, and that she had also been there on other occasions, once brought there by another person and that he did not remonstrate against it, and the Faculty not being satisfied with his explanation... Resolved, that He be dismissed from the University and interdicted from the precincts.""",Faculty Meeting Minutes,Faculty Min.,
1850,4,23,Rape of enslaved girl on campus- 3 students expelled (not referred to in BOV- just in Faculty Committee) ,"George H. Hardy, Armistead  C. Eliason, and James E. Montandon raped an enslaved girl",Faculty Committee Minutes,Faculty Committee,
1856,5,2,"Faculty Minutes- May 2, 1856- Expulsion of a student who severely beat a ""servant girl"" ","Mr. N. B. Noland having from his own confession chastised with extreme severity a young servant girl in the employment of his boarding housekeeper Miss. Terrell, & having thus violated the laws of the land and those of the University , and having refused to give such assurances to the Faculty as would give a guaranty against a repetition of a similar offense, or to express his regret for the action above mentioned, except in respect to the extent of the punishment - In view of the danger to the peace of Society & the good order of the University, resulting from such conduct. Resolved, that Mr. Noland be required to withdraw from the University.",Faculty Meeting Minutes,Faculty Min.,
1890,8,8,"BOV minutes- Aug. 8, 1890- BOV allowing a chemistry professor to give private classes to women ","Resolved, that the consent of the Board is hereby given to Profr Mallet, to give private instruction in Chemistry to one or more young ladies, provided such engagement shall in no way interfere  with his duties in the University.",Board of Visitors' Meeting Minutes,BOV,
1892,6,27,"BOV minutes- June 27, 1892- BOV discussing allowing women into the university, or to take classes","That, at the present time it is impracticable and inexpedient for the University to undertake the duties of instruction for young ladies- That it is both practicable and expedient to extend to young women who may furnish suitable evidence of the requisite attainments in any of the Courses in the Academic Departments of the University, facilities for testing their attainments, by the same examinations, required of the students in such causces [sic.], and upon their passing under the same conditions required of the students, granting a certificate in appropriate form, of that fact, to be conferred by the Faculty. That women  of the age of eighteen or more be permitted, on presenting satisfactory testimonials of good character and on giving evidence of adequate preparation acceptable to the Faculty (either by certificate or by examination), to register with the Chairman of the Faculty for the pursuit of studies in one or more courses in the Academic Department of the University, with the consent in each case of the professor in charge of each School for which registration is desired, and upon payment of a registration fee equal to the matriculation fee of the University.",Board of Visitors' Meeting Minutes,BOV,
